,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
62,Saldanha,1516137563,PT,41.42,-6.55,48.51,94,80,6.51
63,Carros,1516136400,FR,43.78,7.19,59.0,58,0,19.46
64,Sisimiut,1516137564,GL,66.94,-53.67,-4.6,100,68,2.71
65,Kieta,1516137565,PG,-6.22,155.63,81.81,96,76,5.61
66,Geraldton,1516136400,CA,49.72,-86.95,6.8,84,90,12.75
67,Watsa,1516137565,CD,3.04,29.53,64.8,73,0,4.61
68,Saint Anthony,1516136160,US,43.97,-111.68,35.6,59,1,4.7
69,Helena,1516132380,US,46.59,-112.04,15.8,100,40,3.38
70,Butaritari,1516137567,KI,3.07,172.79,82.21,100,88,16.8
71,Lalibela,1516137567,ET,12.04,39.05,34.29,79,0,2.93
72,Le Port,1516137569,FR,42.87,1.37,39.42,61,0,2.93
73,Kuryk,1516137569,KZ,43.18,51.68,15.34,100,32,11.21
74,Vanimo,1516137570,PG,-2.67,141.3,81.94,100,76,7.74
75,Richards Bay,1516137570,ZA,-28.77,32.06,71.41,82,64,2.48
76,Rumonge,1516137570,BI,-3.97,29.44,69.57,100,56,3.15
77,Harstad,1516135800,NO,68.8,16.53,33.8,54,0,18.34
78,Biggar,1516135800,GB,55.62,-3.52,33.8,100,20,13.87
79,Nhulunbuy,1516134600,AU,-12.18,136.78,78.8,100,8,7.07
80,Golden,1516136400,CA,51.3,-116.96,28.4,79,90,17.22
81,Umm Lajj,1516137573,SA,25.02,37.27,62.86,100,0,10.42
82,Moose Factory,1516136400,CA,51.26,-80.61,3.2,84,1,10.29
83,Humboldt,1516137574,CA,52.21,-105.12,13.23,78,0,13.0
84,Mirandola,1516135800,IT,44.89,11.07,37.4,100,20,3.36
85,Ostrovnoy,1516137575,RU,68.05,39.51,17.86,85,64,18.48
86,Weligama,1516137575,LK,5.97,80.42,75.42,98,0,0.36
87,Lazi,1516136400,HR,45.57,14.64,48.2,93,90,5.82
88,Dauriya,1516137576,RU,49.93,116.85,-20.39,54,0,5.06
89,Norman Wells,1516136400,CA,65.28,-126.83,21.2,73,75,9.17
90,Port Hedland,1516134600,AU,-20.31,118.58,82.4,78,40,8.05
91,Meadow Lake,1516136400,CA,54.13,-108.44,6.8,60,5,7.4
92,Flores,1516137579,GT,16.93,-89.89,75.15,53,88,3.94
93,Banda Aceh,1516137580,ID,5.56,95.32,70.92,100,24,2.48
94,Casablanca,1516136400,MA,33.6,-7.62,57.2,87,0,8.05
95,Severo-Kurilsk,1516137581,RU,50.68,156.12,24.03,100,48,15.79
96,Stranraer,1516136400,CA,51.71,-108.48,21.2,53,20,12.75
97,Poronaysk,1516137581,RU,49.22,143.1,-18.37,100,0,2.48
98,Tyup,1516137582,KG,42.73,78.36,5.31,89,32,1.48
99,Puerto Cabezas,1516132800,NI,14.04,-83.39,73.4,94,40,4.7
100,Sangar,1516137583,RU,63.92,127.47,-22.37,64,48,4.38
101,Bereda,1516134600,ES,43.27,-7.54,55.4,87,75,8.05
102,Tevriz,1516137584,RU,57.51,72.4,16.2,83,68,5.61
103,Konstancin-Jeziorna,1516136400,PL,52.08,21.12,26.6,86,75,12.75
104,Severnoye,1516137584,RU,54.09,52.54,10.84,85,68,3.04
105,Klyuchevskiy,1516137585,RU,53.53,119.45,-20.08,53,64,2.71
106,Chapais,1516136400,CA,49.78,-74.86,-0.41,77,1,4.7
107,Hirara,1516137586,JP,24.8,125.28,72.58,97,20,16.46
108,Ulladulla,1516132800,AU,-35.36,150.48,59.0,67,75,9.17
109,Erdenet,1516137587,MN,49.03,104.04,1.84,51,24,8.97
110,Sernur,1516137588,RU,56.93,49.15,19.08,92,92,5.17
111,Tocopilla,1516137588,CL,-22.09,-70.2,67.95,77,20,9.98
112,Mitchell,1516135980,US,43.71,-98.03,6.8,65,1,6.93
113,Normandin,1516136400,CA,48.84,-72.53,-2.21,77,40,2.24
114,La Union,1516137590,GT,14.97,-89.29,69.66,58,56,3.38
115,Ribeira Grande,1516136400,PT,38.52,-28.7,60.8,72,75,5.82
116,Wilmington,1516136100,US,39.75,-75.55,44.6,71,1,9.17
117,Camara de Lobos,1516136400,PT,32.63,-16.97,62.6,63,20,17.22
118,Port Lincoln,1516137592,AU,-34.72,135.86,68.85,92,0,12.21
119,Natal,1516132800,BR,-5.81,-35.21,82.4,69,40,20.8
120,Santo Augusto,1516137593,BR,-27.85,-53.78,82.17,79,44,4.38
121,Bonavista,1516137593,CA,48.65,-53.11,28.84,100,48,18.03
122,Iskateley,1516137594,RU,67.68,53.15,18.36,91,76,12.44
123,Westport,1516132800,IE,53.8,-9.52,32.0,100,75,19.46
124,Gore,1516137595,ET,8.15,35.53,58.54,62,8,2.93
125,Kavieng,1516137595,PG,-2.57,150.8,79.29,100,80,3.38
126,Huejuquilla el Alto,1516137596,MX,22.63,-103.9,68.44,26,0,3.49
127,Jagtial,1516137341,IN,18.8,78.92,62.41,63,0,2.04
128,Yulara,1516132800,AU,-25.24,130.99,69.8,40,8,6.93
129,Batesville,1516136160,US,35.77,-91.64,21.2,40,1,8.05
130,Lavrentiya,1516137598,RU,65.58,-170.99,9.0,100,8,12.1
131,Ilulissat,1516135800,GL,69.22,-51.1,-0.41,77,75,21.92
132,Wajima,1516137600,JP,37.4,136.9,42.03,100,92,8.41
133,Quepos,1516132800,CR,9.43,-84.16,80.6,57,40,12.75
134,Presidencia Roque Saenz Pena,1516137601,AR,-26.79,-60.44,89.64,55,0,6.96
135,Broken Hill,1516137601,AU,-31.97,141.45,67.68,43,0,6.51
136,Marquette,1516135620,US,46.54,-87.4,21.2,78,90,8.05
137,Beringovskiy,1516137602,RU,63.05,179.32,-6.44,100,0,8.75
138,Mahebourg,1516136400,MU,-20.41,57.7,80.6,78,75,21.92
139,Anna Paulowna,1516136100,NL,52.86,4.83,42.8,94,75,25.28
140,Yellowknife,1516136400,CA,62.45,-114.38,8.6,84,20,4.7
141,Longyearbyen,1516135800,NO,78.22,15.63,32.0,84,75,11.41
142,Padang,1516137606,ID,-0.92,100.36,80.19,100,32,3.38
143,Yelizovo,1516134600,RU,53.19,158.38,-0.41,70,0,8.95
144,Neryungri,1516137607,RU,56.66,124.71,-29.26,42,44,3.15
145,Koltubanovskiy,1516137607,RU,52.94,52.03,12.19,81,76,3.38
146,Mandali,1516137608,IQ,33.75,45.55,38.52,73,20,2.71
147,Eyl,1516137608,SO,7.98,49.82,72.94,97,0,18.81
148,Trelleborg,1516135800,SE,55.38,13.15,37.4,93,90,10.29
149,Kovdor,1516137610,RU,67.56,30.47,10.84,71,56,7.63
150,Coffs Harbour,1516134600,AU,-30.3,153.13,66.2,55,12,12.75
151,Nelson Bay,1516136400,AU,-32.72,152.14,68.0,60,20,19.46
152,Faya,1516132800,SA,18.39,42.45,50.0,14,0,4.7
153,Yerbogachen,1516137612,RU,61.28,108.01,-24.62,71,20,2.71
154,Provideniya,1516134600,RU,64.42,-173.23,14.0,72,75,6.71
155,Viseu,1516136400,PT,40.66,-7.91,55.4,93,90,2.71
156,San Pedro,1516137383,AR,-33.68,-59.66,84.15,60,8,5.06
157,Dingle,1516137618,PH,11.0,122.67,70.96,99,76,2.93
158,Bucerias,1516135740,MX,20.76,-105.33,77.0,69,5,10.29
159,Bani,1516137619,PH,15.89,120.27,74.79,97,76,5.39
160,Shushtar,1516132800,IR,32.05,48.86,51.8,62,0,4.7
161,Lata,1516137620,IN,30.78,78.62,19.08,81,0,1.59
162,Atambua,1516137621,ID,-9.11,124.89,74.97,100,44,2.48
163,Punta Arenas,1516132800,CL,-53.16,-70.91,57.2,44,40,29.97
164,Bredasdorp,1516136400,ZA,-34.53,20.04,69.8,73,32,11.41
165,Cururupu,1516137622,BR,-1.82,-44.87,82.66,69,8,10.42
166,San Rafael,1516137624,AR,-34.61,-68.33,74.61,51,0,1.92
167,Bambous Virieux,1516136400,MU,-20.34,57.76,80.6,78,75,21.92
168,Muscat,1516132200,OM,23.6,58.55,69.8,46,0,5.82
169,Thoen,1516137626,TH,17.61,99.22,60.48,91,0,2.15
170,Birjand,1516132800,IR,32.86,59.22,26.6,45,0,6.93
171,Hervey Bay,1516137627,AU,-25.3,152.85,78.39,95,0,13.78
172,Makat,1516137627,KZ,47.65,53.35,4.09,83,88,3.49
173,Naze,1516137627,NG,5.43,7.07,76.41,84,24,6.96
174,Sun City West,1516136280,US,33.66,-112.34,73.4,19,1,6.93
175,Acapulco,1516135500,MX,16.86,-99.88,84.2,66,40,10.29
176,Canon City,1516137629,US,39.46,-117.13,46.71,52,8,1.36
177,Dondo,1516132800,MZ,-19.62,34.74,80.6,83,40,9.42
178,Sendafa,1516137630,ET,9.16,39.02,33.21,76,0,2.48
179,Portree,1516137631,GB,57.41,-6.19,39.06,100,36,24.63
180,Klaksvik,1516136100,FO,62.23,-6.59,32.0,100,20,3.36
181,Xai-Xai,1516137632,MZ,-25.04,33.64,77.76,94,92,12.55
182,Mehamn,1516135800,NO,71.03,27.85,23.0,66,0,26.4
183,San Cristobal,1516134000,EC,-0.39,-78.55,57.2,76,75,10.29
184,Braganca,1516137634,BR,-1.05,-46.77,80.23,82,64,7.52
185,Yokadouma,1516137635,CM,3.52,15.05,71.14,84,0,1.7
186,Dubbo,1516134600,AU,-32.25,148.6,62.6,59,0,12.75
187,Kulhudhuffushi,1516137635,MV,6.62,73.07,80.91,100,0,3.94
188,Hami,1516137636,CN,42.84,93.51,1.62,75,0,7.07
189,Monrovia,1516136400,LR,6.33,-10.8,78.8,88,20,6.06
190,Makhu,1516134600,IN,31.11,74.97,51.8,87,0,6.93
191,Ahuimanu,1516136160,US,21.44,-157.84,80.6,51,40,12.75
192,Tiassale,1516137638,CI,5.9,-4.83,76.77,83,24,5.06
193,Khatanga,1516137638,RU,71.98,102.47,-44.51,0,20,13.11
194,Alta Floresta,1516137639,BR,-9.87,-56.08,78.34,93,32,1.36
195,Deputatskiy,1516137639,RU,69.3,139.9,-50.54,0,20,4.38
196,Ellwangen,1516135800,DE,47.98,9.94,44.6,70,90,19.46
197,Muslyumovo,1516137641,RU,55.31,53.19,12.6,91,64,3.04
198,Esfarayen,1516132800,IR,37.08,57.51,32.0,82,90,2.24
199,Frontera,1516135740,MX,18.53,-92.64,73.4,49,90,9.17
200,Vostok,1516137642,RU,46.45,135.83,-18.32,50,0,3.04
201,Hokitika,1516137643,NZ,-42.72,170.96,67.63,91,92,12.44
202,Ketchikan,1516136160,US,55.34,-131.65,46.4,75,90,13.87
203,Port Augusta,1516132800,AU,-32.49,137.76,60.8,82,0,4.7
204,Aksarka,1516137644,RU,66.56,67.8,25.65,83,88,13.0
205,Ust-Omchug,1516137645,RU,61.13,149.63,-49.96,0,24,2.48
206,Champasak,1516137645,LA,14.89,105.88,64.03,88,0,3.15
207,Tautira,1516136400,PF,-17.73,-149.15,87.8,62,20,19.46
208,Griffith,1516137646,AU,-34.29,146.06,63.63,57,0,6.96
209,Kaputa,1516137646,ZM,-8.47,29.66,62.41,100,68,2.37
210,Adrar,1516136400,DZ,27.87,-0.29,59.0,33,0,11.41
211,Kahului,1516136160,US,20.89,-156.47,75.2,69,40,19.46
212,Kidal,1516137648,ML,18.44,1.41,62.19,38,0,11.1
213,Vaini,1516137648,IN,15.34,74.49,71.82,52,36,3.38
214,Upernavik,1516137648,GL,72.79,-56.15,4.63,100,0,13.44
215,Sept-Iles,1516136400,CA,50.2,-66.38,3.2,65,75,4.7
216,Gamboma,1516137649,CG,-1.87,15.88,73.26,89,68,3.71
217,Plettenberg Bay,1516137650,ZA,-34.05,23.37,66.42,96,0,12.1
218,Liverpool,1516135800,GB,53.41,-2.98,39.2,91,20,27.51
219,Hay River,1516136400,CA,60.82,-115.79,21.2,85,20,4.94
220,Santa Lucia,1516132500,IT,39.93,9.66,57.2,54,20,23.04
221,Petropavlovsk-Kamchatskiy,1516134600,RU,53.05,158.65,-0.41,70,0,8.95
222,High Level,1516136400,CA,58.52,-117.13,15.8,78,5,6.93
223,Vao,1516137653,EE,59.1,26.19,11.61,82,8,16.24
224,College,1516136280,US,64.86,-147.8,15.8,92,90,3.94
225,Ugoofaaru,1516137654,MV,5.67,73.0,81.58,100,0,12.55
226,Batemans Bay,1516137655,AU,-35.71,150.18,59.94,95,0,7.4
227,Seymour,1516137655,US,33.59,-99.26,28.17,31,0,13.0
228,Khandbari,1516137656,NP,27.38,87.21,21.78,47,0,1.48
229,Bara,1516137656,NG,10.41,10.6,69.21,30,0,8.97
230,Yarada,1516137657,IN,17.65,83.27,76.41,100,0,2.15
231,Bhandara,1516134600,IN,21.16,79.65,57.2,67,0,2.71
232,Wuwei,1516137658,CN,37.93,102.64,11.56,75,80,1.59
233,Tura,1516137658,IN,25.52,90.21,46.44,80,0,2.15
234,Saint-Augustin,1516136400,FR,44.83,-0.61,53.6,87,92,20.8
235,Kiama,1516132800,AU,-34.67,150.86,59.0,67,75,9.17
236,Savannah Bight,1516137660,HN,16.45,-85.85,72.58,100,100,13.44
237,Joshimath,1516137660,IN,30.57,79.57,-5.32,82,0,1.36
238,Boende,1516137660,CD,-0.28,20.88,73.53,93,44,1.14
239,Huancavelica,1516137661,PE,-12.79,-74.97,49.09,78,76,3.71
240,Havoysund,1516135800,NO,71.0,24.66,23.0,73,20,29.97
241,Fortuna,1516134600,ES,38.18,-1.13,62.6,45,0,19.46
242,Alegrete,1516137663,BR,-29.79,-55.79,85.86,61,0,10.65
243,Troitskoye,1516137664,RU,52.98,84.68,12.24,73,92,13.78
244,Byron Bay,1516134600,AU,-28.65,153.62,69.8,49,0,10.29
245,Fuyang,1516137665,CN,32.89,115.81,23.4,69,0,3.38
246,Nyrob,1516137665,RU,60.74,56.73,12.42,85,56,5.39
247,Cravo Norte,1516137666,CO,6.3,-70.2,88.06,50,92,7.63
248,Samarai,1516137666,PG,-10.62,150.67,82.03,100,32,8.19
249,Posadas,1516136400,PY,-27.37,-55.89,86.0,51,40,5.82
250,Pompeia,1516137667,BR,-22.11,-50.17,79.74,78,64,5.61
251,Miami,1516136160,US,25.77,-80.19,73.4,53,75,13.87
252,Riberalta,1516132800,BO,-11.0,-66.08,84.2,74,75,6.93
253,Kandi,1516137669,BJ,11.13,2.93,71.73,40,8,6.73
254,Opuwo,1516137669,NA,-18.06,13.84,67.86,74,76,0.36
255,Chingirlau,1516137670,KZ,51.09,54.08,5.4,76,80,3.15
256,Kareli,1516137670,IN,22.93,79.06,46.21,81,0,2.71
257,Khor,1516137672,RU,47.88,134.96,-22.96,34,0,2.93
258,Guamo,1516136100,IT,43.81,10.51,57.2,82,75,23.04
259,Poum,1516137673,MK,41.28,20.71,34.92,94,88,2.59
260,Cukai,1516132800,MY,4.25,103.42,75.2,94,92,3.15
261,Itoman,1516136160,JP,26.12,127.67,69.8,82,90,6.93
262,Porosozero,1516137674,RU,62.72,32.71,9.81,82,8,7.63
263,Cayambe,1516137675,EC,0.04,-78.14,48.73,98,92,1.92
264,Am Timan,1516137675,TD,11.04,20.28,64.17,37,0,5.5
265,Peniche,1516136400,PT,39.36,-9.38,55.4,100,75,2.24
266,Shimoda,1516134480,JP,34.7,138.93,46.4,81,75,23.04
267,Gat,1516137677,SN,14.69,-16.54,74.29,34,0,14.67
268,Guerrero Negro,1516137677,MX,27.97,-114.04,72.94,48,0,8.97
269,Shenjiamen,1516137677,CN,29.96,122.3,48.42,99,20,15.68
270,Margate,1516134600,AU,-43.03,147.26,55.4,76,0,5.82
271,Trairi,1516137678,BR,-3.28,-39.27,81.45,100,8,19.26
272,Ilhabela,1516137679,BR,-23.78,-45.36,79.51,96,64,6.73
273,Kysyl-Syr,1516137679,RU,63.9,122.77,-35.87,68,32,2.59
274,Salalah,1516132200,OM,17.01,54.1,66.2,48,0,5.82
275,Nouadhibou,1516136400,MR,20.93,-17.03,62.6,59,0,21.92
276,Muroto,1516137681,JP,33.37,134.14,56.16,100,100,16.58
277,Zhigansk,1516137681,RU,66.77,123.37,-29.66,49,44,3.38
278,Las Tunas,1516137682,CU,20.96,-76.96,79.78,68,88,12.21
279,Challapata,1516137682,BO,-18.9,-66.78,53.55,65,48,3.71
280,Balakovo,1516137682,RU,52.02,47.82,12.33,81,88,2.71
281,Antofagasta,1516132800,CL,-23.65,-70.4,68.0,68,75,18.34
282,Santa Cruz,1516136160,US,36.97,-122.03,66.2,72,1,10.29
283,Suarez,1516136400,CO,4.05,-74.83,80.6,65,75,4.7
284,Conceicao da Barra,1516137687,BR,-18.59,-39.73,80.46,87,0,13.22
285,Seoul,1516134780,KR,37.57,126.98,37.4,74,75,6.93
286,Cessnock,1516136400,AU,-32.83,151.35,68.0,60,20,19.46
287,Corowa,1516132800,AU,-36.0,146.39,55.4,87,0,5.17
288,Merauke,1516137690,ID,-8.49,140.4,76.81,100,48,4.5
289,Rio Grande,1516135500,BR,-32.03,-52.1,80.6,61,20,12.75
290,Det Udom,1516132800,TH,14.9,105.08,62.6,93,0,7.4
291,Leua,1516137691,AO,-11.65,20.45,67.09,87,56,3.04
292,Mount Barker,1516136400,AU,-35.06,138.86,71.6,56,0,6.93
293,Preobrazheniye,1516137692,RU,42.9,133.91,-3.61,61,0,3.04
294,Buchanan,1516136400,LR,5.88,-10.05,78.8,88,20,5.95
295,Burnie,1516137693,AU,-41.05,145.91,61.29,100,8,6.96
296,Jashpurnagar,1516137694,IN,22.88,84.14,39.96,77,0,4.61
297,Barrow,1516137622,AR,-38.31,-60.23,86.44,29,12,11.54
298,Oum Hadjer,1516137695,TD,13.3,19.7,64.26,26,0,10.42
299,Lahij,1516137696,YE,13.06,44.88,55.71,95,0,3.49
300,Havelock,1516132680,US,34.88,-76.9,53.6,40,1,5.82
301,Sumbe,1516137696,AO,-11.2,13.84,74.88,100,36,5.61
302,Kupang,1516137697,ID,-10.16,123.6,74.79,100,68,2.48
303,Ilebo,1516137697,CD,-4.33,20.59,73.35,96,48,2.04
304,Hasaki,1516134600,JP,35.73,140.83,39.2,93,75,29.33
305,Pisco,1516132800,PE,-13.71,-76.2,78.8,57,12,24.16
306,Iqaluit,1516136400,CA,63.75,-68.52,-23.81,67,20,8.05
307,Slave Lake,1516136400,CA,55.28,-114.77,12.2,78,1,5.82
308,Urucui,1516137700,BR,-7.23,-44.56,87.66,45,64,7.96
309,Mamallapuram,1516134600,IN,12.63,80.17,73.4,94,20,2.24
310,Bend,1516136160,US,44.06,-121.32,48.2,73,1,11.41
311,Doha,1516132800,QA,25.29,51.53,62.6,63,0,9.17
312,Gorele,1516135800,TR,41.03,39.0,53.6,34,40,16.11
313,Henties Bay,1516137703,NA,-22.12,14.28,64.08,99,0,5.17
314,Rawson,1516137704,AR,-43.3,-65.11,84.33,33,36,12.55
315,Sinop,1516137704,TR,42.03,35.15,44.91,100,92,3.49
316,Saint-Leu,1516136400,RE,-21.15,55.28,77.0,88,12,20.8
317,Mangai,1516137705,CD,-4.07,19.59,72.58,96,44,1.92
318,Maceio,1516132800,BR,-9.67,-35.74,82.4,65,40,11.41
319,Matara,1516137707,PE,-13.74,-72.9,56.43,57,64,2.48
320,Filadelfia,1516137707,PY,-22.35,-60.04,91.39,56,20,4.61
321,Bonthe,1516137708,SL,7.53,-12.5,80.19,76,0,5.06
322,Muhos,1516135800,FI,64.81,26.0,10.4,85,0,12.75
323,Volot,1516137709,RU,57.93,30.71,12.91,72,64,11.1
324,Campo Verde,1516132800,PE,-8.47,-74.81,82.4,69,75,11.41
325,Diosjeno,1516136400,HU,47.94,19.04,30.2,92,75,5.82
326,Port Blair,1516137710,IN,11.67,92.75,80.37,100,24,7.74
327,Cayenne,1516136400,GF,4.94,-52.33,80.6,78,75,4.7
328,Puerto Escondido,1516135200,MX,15.86,-97.07,82.4,65,75,10.29
329,Barkhan,1516137712,PK,29.9,69.52,35.82,89,0,2.48
330,Rovaniemi,1516135800,FI,66.5,25.72,8.6,84,75,8.05
331,Lagoa,1516136400,PT,37.14,-8.45,55.4,87,0,4.7
332,Llaillay,1516136400,CL,-32.84,-70.95,78.8,39,0,17.22
333,Talcahuano,1516132800,CL,-36.72,-73.12,73.4,49,0,16.11
334,Isangel,1516137714,VU,-19.55,169.27,81.27,99,8,9.75
335,Bilma,1516137714,NE,18.69,12.92,54.54,79,8,2.93
336,Celestun,1516137715,MX,20.87,-90.4,72.27,97,64,15.01
337,Belmonte,1516137716,PT,40.36,-7.35,35.46,82,8,2.59
338,Lipin Bor,1516137716,RU,60.26,37.97,16.92,85,56,16.13
339,Cam Ranh,1516137717,VN,11.92,109.15,70.74,100,80,11.43
340,Namtsy,1516137717,RU,62.72,129.66,-31.06,52,48,3.94
341,Sobolevo,1516137718,RU,54.43,31.9,14.49,71,68,17.13
342,Dabakala,1516137718,CI,8.36,-4.43,81.0,60,100,2.93
343,Sistranda,1516135800,NO,63.73,8.83,37.4,59,20,17.22
344,Moree,1516137719,AU,-29.46,149.84,65.83,44,0,12.21
345,Young,1516137719,UY,-32.7,-57.63,86.53,53,0,6.4
346,Kaitangata,1516137720,NZ,-46.28,169.85,61.06,97,92,5.73
347,Kourou,1516136400,GF,5.16,-52.64,80.6,78,75,4.7
348,Coroata,1516137721,BR,-6.39,-44.31,82.17,69,36,3.04
349,Novobirilyussy,1516137721,RU,56.95,90.69,17.59,85,80,13.44
350,Nijar,1516134600,ES,36.97,-2.21,48.2,87,0,5.06
351,Churapcha,1516137723,RU,62.0,132.43,-42.67,0,24,2.59
352,Peruibe,1516137461,BR,-24.32,-47.0,79.65,100,32,10.2
353,Vilhena,1516132800,BR,-12.74,-60.15,82.4,69,40,8.05
354,Dvinskoy,1516137724,RU,62.16,45.12,17.73,83,68,6.06
355,San Ramon,1516136400,NI,12.92,-85.84,66.2,88,75,13.87
356,Dire,1516137725,ET,9.18,38.92,33.21,76,0,2.48
357,Auki,1516137726,NG,12.18,6.51,66.19,31,0,8.75
358,Ponta do Sol,1516137726,BR,-20.63,-46.0,79.24,77,8,3.49
359,Sao Miguel do Araguaia,1516137727,BR,-13.28,-50.16,77.94,96,48,4.38
360,Nampula,1516136400,MZ,-15.12,39.26,71.6,100,90,7.74
361,Moundsville,1516136160,US,39.92,-80.74,19.4,78,90,6.93
362,Oranjemund,1516137728,ZA,-28.55,16.43,62.46,93,0,6.06
363,Shakawe,1516137728,BW,-18.36,21.84,90.13,24,92,13.11
364,Pundaguitan,1516137728,PH,6.37,126.17,78.66,100,92,3.6
365,Belaya Gora,1516137729,RU,68.54,146.19,-38.71,81,64,6.73
366,Endicott,1516136160,US,42.1,-76.05,26.6,85,90,2.71
367,Taltal,1516137730,CL,-25.41,-70.49,72.36,47,0,6.17
368,Itarema,1516137733,BR,-2.92,-39.92,82.62,69,0,16.02
369,Finschhafen,1516137734,PG,-6.6,147.85,70.96,100,80,1.48
370,Juneau,1516136160,US,58.3,-134.42,44.6,93,75,14.99
371,Villa del Rosario,1516136400,CO,7.83,-72.47,82.4,69,40,9.17
372,Dikson,1516137735,RU,73.51,80.55,-19.63,87,0,13.78
373,Yanam,1516137736,IN,16.73,82.22,68.67,80,0,4.61
374,Karratha,1516137462,AU,-20.74,116.85,80.73,79,76,3.49
